"set","OA_with_date","OA_no_date","variables","set_name"
202,0.926174496644295,0.915627996164909,"B8A, MSAVI8A, MSAVI2, RVI_buff, VH_variance","mixed"
203,0.919463087248322,0.909875359539789,"B8A, MSAVI8A, MSAVI2, VH_mean, VH_variance","mixed"
204,0.942473633748802,0.929050814956855,"B8A, MSAVI8A, BSI8A, RVI_buff, VH_mean","mixed"
205,0.944391179290508,0.922339405560882,"B8A, MSAVI8A, BSI8A, RVI_buff, VH_variance","mixed"
206,0.934803451581975,0.920421860019175,"B8A, MSAVI8A, BSI8A, VH_mean, VH_variance","mixed"
207,0.920421860019175,0.905081495685523,"B8A, MSAVI8A, RVI_buff, VH_mean, VH_variance","mixed"
208,0.944391179290508,0.922339405560882,"B8A, MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
209,0.941514860977948,0.923298178331735,"B8A, MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
210,0.939597315436242,0.927133269415149,"B8A, MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
211,0.924256951102589,0.909875359539789,"B8A, MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
212,0.920421860019175,0.904122722914669,"B8A, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
213,0.925215723873442,0.896452540747843,"MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
214,0.928092042186002,0.898370086289549,"MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
215,0.921380632790029,0.884947267497603,"MSAVI8A, MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
216,0.888782358581016,0.86385426653883,"MSAVI8A, MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
217,0.924256951102589,0.891658676893576,"MSAVI8A, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
218,0.924256951102589,0.885906040268456,"MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
219,0.963566634707574,0.961649089165868,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff","mixed"
220,0.967401725790987,0.962607861936721,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, VH_mean","mixed"
221,0.966442953020134,0.962607861936721,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, VH_variance","mixed"
222,0.961649089165868,0.958772770853308,"NBR2, B8A, MSAVI8A, MSAVI2, RVI_buff, VH_mean","mixed"
223,0.960690316395014,0.958772770853308,"NBR2, B8A, MSAVI8A, MSAVI2, RVI_buff, VH_variance","mixed"
224,0.962607861936721,0.955896452540748,"NBR2, B8A, MSAVI8A, MSAVI2, VH_mean, VH_variance","mixed"
225,0.967401725790987,0.960690316395014,"NBR2, B8A, MSAVI8A, BSI8A, RVI_buff, VH_mean","mixed"
226,0.967401725790987,0.960690316395014,"NBR2, B8A, MSAVI8A, BSI8A, RVI_buff, VH_variance","mixed"
227,0.968360498561841,0.956855225311601,"NBR2, B8A, MSAVI8A, BSI8A, VH_mean, VH_variance","mixed"
228,0.967401725790987,0.957813998082454,"NBR2, B8A, MSAVI8A, RVI_buff, VH_mean, VH_variance","mixed"
229,0.965484180249281,0.963566634707574,"NBR2, B8A, MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
230,0.964525407478428,0.964525407478428,"NBR2, B8A, MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
231,0.968360498561841,0.963566634707574,"NBR2, B8A, MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
232,0.963566634707574,0.960690316395014,"NBR2, B8A, MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
233,0.961649089165868,0.953020134228188,"NBR2, B8A, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
234,0.956855225311601,0.945349952061361,"NBR2, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
235,0.954937679769895,0.947267497603068,"NBR2, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
236,0.953978906999041,0.946308724832215,"NBR2, MSAVI8A, MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
237,0.942473633748802,0.932885906040268,"NBR2, MSAVI8A, MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
238,0.953020134228188,0.944391179290508,"NBR2, MSAVI8A, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
239,0.955896452540748,0.944391179290508,"NBR2, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
240,0.941514860977948,0.927133269415149,"B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
241,0.941514860977948,0.928092042186002,"B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
242,0.943432406519655,0.928092042186002,"B8A, MSAVI8A, MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
243,0.921380632790029,0.914669223394056,"B8A, MSAVI8A, MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
244,0.940556088207095,0.927133269415149,"B8A, MSAVI8A, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
245,0.935762224352828,0.922339405560882,"B8A, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
246,0.928092042186002,0.891658676893576,"MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
247,0.965484180249281,0.961649089165868,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean","mixed"
248,0.967401725790987,0.960690316395014,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_variance","mixed"
249,0.965484180249281,0.962607861936721,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, VH_mean, VH_variance","mixed"
250,0.964525407478428,0.959731543624161,"NBR2, B8A, MSAVI8A, MSAVI2, RVI_buff, VH_mean, VH_variance","mixed"
251,0.968360498561841,0.961649089165868,"NBR2, B8A, MSAVI8A, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
252,0.966442953020134,0.963566634707574,"NBR2, B8A, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
253,0.953978906999041,0.944391179290508,"NBR2, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
254,0.940556088207095,0.929050814956855,"B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
255,0.967401725790987,0.962607861936721,"NBR2, B8A, MSAVI8A, MSAVI2, BSI8A, RVI_buff, VH_mean, VH_variance","mixed"
